id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5828812-A,Recurrent neural network-based fuzzy logic system and method ,National Semiconductor Corporation,"Emdadur Rahman Khan, William Shields Neely",1993-03-24,1995-05-02,1998-10-27,1998-10-27,https://patents.google.com/patent/US5828812A/en,https://patentimages.storage.googleapis.com/pages/US5828812-10.png
US-5649065-A,Optimal filtering by neural networks with range extenders and/or reducers ,Maryland Technology Corporation,"James Ting-Ho Lo, Lei Yu",1993-05-28,1993-08-09,1997-07-15,1997-07-15,https://patents.google.com/patent/US5649065A/en,https://patentimages.storage.googleapis.com/pages/US5649065-10.png
US-5182794-A,Recurrent neural networks teaching system ,"Allen-Bradley Company, Inc.","Michael L. Gasperi, Wesley Davis",1990-07-12,1992-03-27,1993-01-26,1993-01-26,https://patents.google.com/patent/US5182794A/en,https://patentimages.storage.googleapis.com/pages/US5182794-1.png
US-5606646-A,Recurrent neural network-based fuzzy logic system ,National Semiconductor Corporation,"Emdadur R. Khan, Faith A. Unal",1993-03-24,1994-06-24,1997-02-25,1997-02-25,https://patents.google.com/patent/US5606646A/en,https://patentimages.storage.googleapis.com/pages/US5606646-10.png
US-5129039-A,Recurrent neural network with variable size intermediate layer ,Sony Corporation,Atsunobu Hiraiwa,1988-09-17,1991-07-10,1992-07-07,1992-07-07,https://patents.google.com/patent/US5129039A/en,https://patentimages.storage.googleapis.com/pages/US5129039-1.png
US-7672920-B2,Apparatus and method for embedding recurrent neural networks into the nodes of a self-organizing map ,Sony Corporation,"Masato Ito, Katsuki Minamino, Yukiko Yoshiike, Hirotaka Suzuki, Kenta Kawamoto",2006-01-31,2007-01-30,2010-03-02,2010-03-02,https://patents.google.com/patent/US7672920B2/en,
US-5408424-A,Optimal filtering by recurrent neural networks ,Lo; James T.,James T. Lo,1993-05-28,1993-05-28,1995-04-18,1995-04-18,https://patents.google.com/patent/US5408424A/en,https://patentimages.storage.googleapis.com/pages/US5408424-10.png
US-5956702-A,Time-series trend estimating system and method using column-structured recurrent neural network ,Fujitsu Limited,"Masahiro Matsuoka, Mostefa Golea",1995-09-06,1996-08-22,1999-09-21,1999-09-21,https://patents.google.com/patent/US5956702A/en,https://patentimages.storage.googleapis.com/pages/US5956702-1.png
US-5943659-A,Deterministic encoding of fuzzy finite state automata in continuous recurrent neural networks ,"Nec Research Institute, Inc.","C. Lee Giles, Christian Walter Omlin, Karvel Kuhn Thornber",1995-10-03,1995-10-03,1999-08-24,1999-08-24,https://patents.google.com/patent/US5943659A/en,https://patentimages.storage.googleapis.com/pages/US5943659-1.png
US-5857321-A,Controller with neural network for estimating gas turbine internal cycle parameters ,General Electric Company,"Ravi Rajamani, Nicolas Wadih Chbat, Todd Alan Ashley",1996-06-11,1996-06-11,1999-01-12,1999-01-12,https://patents.google.com/patent/US5857321A/en,https://patentimages.storage.googleapis.com/pages/US5857321-1.png
US-9263036-B1,System and method for speech recognition using deep recurrent neural networks ,Google Inc.,Alexander B. Graves,2012-11-29,2013-11-26,2016-02-16,2016-02-16,https://patents.google.com/patent/US9263036B1/en,https://patentimages.storage.googleapis.com/1c/d0/cd/3c54b356a4c93f/US09263036-20160216-D00000.png
US-5432887-A,Neural network system and method for factory floor scheduling ,Singapore Computer Systems,Fook C. Khaw,1993-03-16,1993-03-16,1995-07-11,1995-07-11,https://patents.google.com/patent/US5432887A/en,https://patentimages.storage.googleapis.com/pages/US5432887-1.png
US-5485545-A,Control method using neural networks and a voltage/reactive-power controller for a power system using the control method ,Mitsubishi Denki Kabushiki Kaisha,"Yasuhiro Kojima, Yoshio Izui, Tadahiro Goda, Sumie Kyomoto",1991-06-20,1994-08-26,1996-01-16,1996-01-16,https://patents.google.com/patent/US5485545A/en,https://patentimages.storage.googleapis.com/pages/US5485545-1.png
US-9015093-B1,Intelligent control with hierarchical stacked neural networks ,Michael Lamport Commons,Michael Lamport Commons,2010-10-26,2011-10-25,2015-04-21,2015-04-21,https://patents.google.com/patent/US9015093B1/en,https://patentimages.storage.googleapis.com/83/95/1f/b14bca9b8f389e/US09015093-20150421-D00000.png
US-8775341-B1,Intelligent control with hierarchical stacked neural networks ,Michael Lamport Commons,Michael Lamport Commons,2010-10-26,2011-10-25,2014-07-08,2014-07-08,https://patents.google.com/patent/US8775341B1/en,https://patentimages.storage.googleapis.com/dd/17/30/19ebd798572fe3/US08775341-20140708-D00000.png
US-6735580-B1,Artificial neural network based universal time series ,Westport Financial Llc,"Liang Li, Yi Tang, Bin Li, Xiaohua Wu",1999-08-26,2000-08-25,2004-05-11,2004-05-11,https://patents.google.com/patent/US6735580B1/en,https://patentimages.storage.googleapis.com/e5/79/eb/aa7afe224afe53/US06735580-20040511-D00000.png
US-5781700-A,Trained Neural network air/fuel control system ,"Ford Global Technologies, Inc.","Gintaras Vincent Puskorius, Lee Albert Feldkamp, Leighton Ira Davis",1996-02-05,1996-02-05,1998-07-14,1998-07-14,https://patents.google.com/patent/US5781700A/en,https://patentimages.storage.googleapis.com/pages/US5781700-2.png
US-7395251-B2,Neural networks for prediction and control ,International Business Machines Corporation,Ralph Linsker,2005-07-01,2005-07-01,2008-07-01,2008-07-01,https://patents.google.com/patent/US7395251B2/en,
US-5706400-A,Fault-tolerant implementation of finite-state automata in recurrent neural networks ,"Nec Research Institute, Inc.","Christian Walter Peter Omlin, C. Lee Giles",1995-03-08,1995-03-08,1998-01-06,1998-01-06,https://patents.google.com/patent/US5706400A/en,https://patentimages.storage.googleapis.com/pages/US5706400-1.png
US-5963929-A,Recursive neural filters ,Maryland Technology Corporation,James Ting-Ho Lo,1993-05-28,1997-07-11,1999-10-05,1999-10-05,https://patents.google.com/patent/US5963929A/en,https://patentimages.storage.googleapis.com/pages/US5963929-10.png
US-5671336-A,Apparatus based on n-variable unlimited recurrent adjustable network ,"Nissan Motor Co., Ltd.","Kazumi Yoshida, Norimasa Kishi",1993-09-16,1994-09-15,1997-09-23,1997-09-23,https://patents.google.com/patent/US5671336A/en,https://patentimages.storage.googleapis.com/pages/US5671336-10.png
US-5690103-A,Detection/exclusion of acute myocardial infarction using neural network analysis of measurements of biochemical markers ,"Groth; Torgny Lars, Ellenius; Johan","Torgny Lars Groth, Johan Ellenius",1996-06-20,1996-06-20,1997-11-25,1997-11-25,https://patents.google.com/patent/US5690103A/en,https://patentimages.storage.googleapis.com/pages/US5690103-10.png
US-6272480-B1,Method and arrangement for the neural modelling of a dynamic system with non-linear stochastic behavior ,Siemens Aktiengesellschaft,"Volker Tresp, Thomas Briegel",1997-10-17,1998-10-19,2001-08-07,2001-08-07,https://patents.google.com/patent/US6272480B1/en,https://patentimages.storage.googleapis.com/e3/ab/7c/c81d3c701eb643/US06272480-20010807-D00000.png
US-5732382-A,Method for identifying misfire events of an internal combustion engine ,"Ford Global Technologies, Inc.","Gintaras Vincent Puskorius, Lee Albert Feldkamp, Kenneth Andrew Marko, John Victor James, Timothy Mark Feldkamp",1996-11-06,1996-11-06,1998-03-24,1998-03-24,https://patents.google.com/patent/US5732382A/en,https://patentimages.storage.googleapis.com/pages/US5732382-1.png
US-6151592-A,"Recognition apparatus using neural network, and learning method therefor ",Seiko Epson Corporation,Mitsuhiro Inazumi,1995-06-07,1998-01-20,2000-11-21,2000-11-21,https://patents.google.com/patent/US6151592A/en,https://patentimages.storage.googleapis.com/pages/US6151592-10.png
US-6092018-A,Trained neural network engine idle speed control system ,"Ford Global Technologies, Inc.","Gintaras Vincent Puskorius, Lee Albert Feldkamp, Leighton Ira Davis",1996-02-05,1996-02-05,2000-07-18,2000-07-18,https://patents.google.com/patent/US6092018A/en,https://patentimages.storage.googleapis.com/pages/US6092018-1.png
US-6292791-B1,Method and apparatus of synthesizing plucked string instruments using recurrent neural networks ,Industrial Technology Research Institute,"Wen-yu Su, Sheng-fu Liang, Tien-Ho Chung",1998-02-27,1998-06-16,2001-09-18,2001-09-18,https://patents.google.com/patent/US6292791B1/en,https://patentimages.storage.googleapis.com/c4/52/38/02258fb42734e7/US06292791-20010918-D00000.png
