search URL:,https://patents.google.com/?q=%28artificial+intelligence%29&language=ENGLISH&oq=%28artificial+intelligence%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-4999833-A,Network connectivity control by artificial intelligence ,Itt Corporation,William C. Lee,1985-05-06,1988-12-20,1991-03-12,1991-03-12,https://patents.google.com/patent/US4999833A/en,https://patentimages.storage.googleapis.com/pages/US4999833-1.png
US-5357427-A,Remote monitoring of high-risk patients using artificial intelligence ,Digital Equipment Corporation,"Pauline A. Langen, Jeffrey S. Katz, Gayle Dempsey, James Pompano",1993-03-15,1993-03-15,1994-10-18,1994-10-18,https://patents.google.com/patent/US5357427A/en,https://patentimages.storage.googleapis.com/pages/US5357427-1.png
US-6026911-A,Downhole tools using artificial intelligence based control ,Intelligent Inspection Corporation,"Colin M. Angle, Thomas W. McIntyre",1996-12-02,1998-11-09,2000-02-22,2000-02-22,https://patents.google.com/patent/US6026911A/en,https://patentimages.storage.googleapis.com/pages/US6026911-1.png
US-5412756-A,Artificial intelligence software shell for plant operation simulation ,Mitsubishi Denki Kabushiki Kaisha,"Douglas A. Bauman, Simon Lowenfeld, Brian A. Schultz, Robert W. Thompson, Jr.",1992-12-22,1992-12-22,1995-05-02,1995-05-02,https://patents.google.com/patent/US5412756A/en,https://patentimages.storage.googleapis.com/pages/US5412756-1.png
US-5473732-A,Relational artificial intelligence system ,Chang; Hou-Mei H.,Hou-Mei H. Chang,1993-11-02,1995-02-07,1995-12-05,1995-12-05,https://patents.google.com/patent/US5473732A/en,https://patentimages.storage.googleapis.com/pages/US5473732-2.png
US-4670848-A,Artificial intelligence system ,Standard Systems Corporation,David A. Schramm,1985-04-10,1985-04-10,1987-06-02,1987-06-02,https://patents.google.com/patent/US4670848A/en,https://patentimages.storage.googleapis.com/pages/US4670848-1.png
US-4796206-A,Computer assisted vehicle service featuring signature analysis and artificial intelligence ,International Business Machines Corporation,"Joseph A. Boscove, Hobart L. Kurtz, Jeffrey E. Prince, William P. Wiegand",1986-06-02,1986-06-02,1989-01-03,1989-01-03,https://patents.google.com/patent/US4796206A/en,https://patentimages.storage.googleapis.com/pages/US4796206-1.png
US-7551921-B2,Wireless communications system with parallel computing artificial intelligence-based distributive call routing ,Wahoo Communications Corporation,Jerry Petermann,2000-05-31,2006-06-26,2009-06-23,2009-06-23,https://patents.google.com/patent/US7551921B2/en,https://patentimages.storage.googleapis.com/cd/f0/1d/62e6c05ededaad/US07551921-20090623-D00029.png
US-5097510-A,Artificial intelligence pattern-recognition-based noise reduction system for speech processing ,"Gs Systems, Inc.",Daniel Graupe,1989-11-07,1989-11-07,1992-03-17,1992-03-17,https://patents.google.com/patent/US5097510A/en,https://patentimages.storage.googleapis.com/pages/US5097510-1.png
US-4841456-A,Test system and method using artificial intelligence control ,The Boeing Company,"Thomas J. Hogan, Jr., Jon J. Kasprick, Donald R. Anderson, Douglas W. Kersh",1986-09-09,1986-09-09,1989-06-20,1989-06-20,https://patents.google.com/patent/US4841456A/en,https://patentimages.storage.googleapis.com/pages/US4841456-1.png
