search URL:,https://patents.google.com/?q=%28autonomous+systems%29&language=ENGLISH&oq=%28autonomous+systems%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6914886-B2,Controlling traffic on links between autonomous systems ,Radware Ltd.,"Amir Peles, Smadar Fuks",2001-05-03,2001-05-03,2005-07-05,2005-07-05,https://patents.google.com/patent/US6914886B2/en,https://patentimages.storage.googleapis.com/51/86/ed/b6b3b54bb57ab9/US06914886-20050705-D00000.png
US-2008129825-A1,Autonomous Systems And Methods For Still And Moving Picture Production ,"Lynx System Developers, Inc.","Douglas J. DeAngelis, Kirk Sigel, Edward Evansen",2006-12-04,2007-12-04,2008-06-05,,https://patents.google.com/patent/US20080129825A1/en,https://patentimages.storage.googleapis.com/US20080129825A1/US20080129825A1-20080605-D00000.png
US-2010066676-A1,Gestural Control of Autonomous and Semi-Autonomous Systems ,"Oblong Industries, Inc.","Kwindla Hultman Kramer, Tom White, Mattie Ruth Kramer",2006-02-08,2009-09-10,2010-03-18,,https://patents.google.com/patent/US20100066676A1/en,
US-5046022-A,Tele-autonomous system and method employing time/position synchrony/desynchrony ,The Regents Of The University Of Michigan,"Lynn A. Conway, Richard A. Volz, Michael W. Walker",1988-03-10,1988-03-10,1991-09-03,1991-09-03,https://patents.google.com/patent/US5046022A/en,https://patentimages.storage.googleapis.com/pages/US5046022-1.png
US-7076559-B1,"System, device, and method for establishing label switched paths across multiple autonomous systems ",Nortel Networks Limited,"Anoop Ghanwani, Andre Fredette, Naganand Doraswamy",1999-12-28,1999-12-28,2006-07-11,2006-07-11,https://patents.google.com/patent/US7076559B1/en,https://patentimages.storage.googleapis.com/US7076559B1/US07076559-20060711-D00000.png
US-7180864-B2,Method and apparatus for exchanging routing information within an autonomous system in a packet-based data network ,Lucent Technologies Inc.,"Anindya Basu, Chih-Hao Luke Ong, April Patricia Rasala, Frederick Bruce Sheperd, Gordon Thomas Wilfong",2002-02-27,2002-02-27,2007-02-20,2007-02-20,https://patents.google.com/patent/US7180864B2/en,
US-2006165009-A1,Systems and methods for traffic management between autonomous systems in the Internet ,Zvolve,"Luc Nguyen, Garry Williams, Laurent Oget, David Goodman, Abhijeet Shah",2005-01-25,2005-01-25,2006-07-27,,https://patents.google.com/patent/US20060165009A1/en,https://patentimages.storage.googleapis.com/39/03/5e/458c8f2a8109cd/US20060165009A1-20060727-D00000.png
US-2005246590-A1,Efficient real-time analysis method of error logs for autonomous systems ,Lancaster Peter C,Peter Lancaster,2004-04-15,2004-04-15,2005-11-03,,https://patents.google.com/patent/US20050246590A1/en,https://patentimages.storage.googleapis.com/bb/1f/3d/f503bf496fa3aa/US20050246590A1-20051103-D00000.png
US-6636509-B1,Hardware TOS remapping based on source autonomous system identifier ,"Cisco Technology, Inc.",John H. Hughes,1999-05-11,1999-05-11,2003-10-21,2003-10-21,https://patents.google.com/patent/US6636509B1/en,https://patentimages.storage.googleapis.com/d0/36/d9/ff104ae602b9cf/US06636509-20031021-D00000.png
US-7379428-B2,Autonomous system topology based auxiliary network for peer-to-peer overlay network ,"Hewlett-Packard Development Company, L.P.","Zhichen Xu, Mallik Mahalingam, Magnus Karlsson",2002-10-31,2002-10-31,2008-05-27,2008-05-27,https://patents.google.com/patent/US7379428B2/en,https://patentimages.storage.googleapis.com/US7379428B2/US07379428-20080527-D00000.png
