search URL:,https://patents.google.com/?q=%28computer+science%29&language=ENGLISH&oq=%28computer+science%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5259766-A,"Method and system for interactive computer science testing, anaylsis and feedback ",Educational Testing Service,"Warren Sack, Randy E. Bennett",1991-12-13,1991-12-13,1993-11-09,1993-11-09,https://patents.google.com/patent/US5259766A/en,https://patentimages.storage.googleapis.com/pages/US5259766-1.png
US-5517663-A,"Animated user interface for computer program creation, control and execution ",Kahn; Kenneth M.,Kenneth M. Kahn,1993-03-22,1994-11-09,1996-05-14,1996-05-14,https://patents.google.com/patent/US5517663A/en,https://patentimages.storage.googleapis.com/pages/US5517663-1.png
US-6857118-B2,Function values in computer programming languages having dynamic types and overloading ,"The Mathworks, Inc.","Michael E. Karr, Mary Ann Branch",2001-07-25,2001-07-25,2005-02-15,2005-02-15,https://patents.google.com/patent/US6857118B2/en,https://patentimages.storage.googleapis.com/67/54/73/c644a1a7205620/US06857118-20050215-D00000.png
US-6243746-B1,Method and implementation for using computer network topology objects ,"Sun Microsystems, Inc.","Raghavendra Sondur, Akhil Arora, Rajeev Angal, Balaji Pagadala, Bart Fisher",1998-12-04,1998-12-04,2001-06-05,2001-06-05,https://patents.google.com/patent/US6243746B1/en,https://patentimages.storage.googleapis.com/73/bf/df/2561b83d42b54c/US06243746-20010605-D00000.png
US-6434738-B1,System and method for testing computer software ,David Arnow,David Arnow,1999-04-22,1999-04-22,2002-08-13,2002-08-13,https://patents.google.com/patent/US6434738B1/en,https://patentimages.storage.googleapis.com/11/67/5f/8897e703e4a717/US06434738-20020813-D00000.png
US-6298378-B1,Event distribution system for computer network management architecture ,"Sun Microsystems, Inc.","Rajeev Angal, Shivaram Bhat, Subodh Bapat, Ragavendra Sondur",1998-12-04,1998-12-04,2001-10-02,2001-10-02,https://patents.google.com/patent/US6298378B1/en,https://patentimages.storage.googleapis.com/c4/1e/e8/9dfa7290b4b894/US06298378-20011002-D00000.png
US-6192477-B1,"Methods, software, and apparatus for secure communication over a computer network ",Dagg Llc,David Corthell,1999-02-02,1999-02-02,2001-02-20,2001-02-20,https://patents.google.com/patent/US6192477B1/en,https://patentimages.storage.googleapis.com/83/75/eb/dfd4391c0c5148/US06192477-20010220-D00000.png
US-5083265-A,Bulk-synchronous parallel computer ,President And Fellows Of Harvard College,Leslie G. Valiant,1990-04-17,1990-04-17,1992-01-21,1992-01-21,https://patents.google.com/patent/US5083265A/en,https://patentimages.storage.googleapis.com/pages/US5083265-1.png
US-6012984-A,Systems for providing large arena games over computer networks ,"Gamesville.Com,Inc.",Stuart Roseman,1997-04-11,1997-04-11,2000-01-11,2000-01-11,https://patents.google.com/patent/US6012984A/en,https://patentimages.storage.googleapis.com/pages/US6012984-1.png
US-6358202-B1,Network for implanted computer devices ,"Sun Microsystems, Inc.",Michael Arent,1999-01-25,2000-01-14,2002-03-19,2002-03-19,https://patents.google.com/patent/US6358202B1/en,https://patentimages.storage.googleapis.com/11/cb/45/e136494f992198/US06358202-20020319-D00000.png
US-7552233-B2,System and method for information object routing in computer networks ,"Adara Networks, Inc.","Jyoti Raju, J. J. Garcia-Luna-Aceves, Bradley R. Smith",2000-03-16,2002-09-10,2009-06-23,2009-06-23,https://patents.google.com/patent/US7552233B2/en,https://patentimages.storage.googleapis.com/d4/7f/1b/56afab7fb5d58b/US07552233-20090623-D00000.png
US-6163770-A,"Computer apparatus and method for generating documentation using a computed value for a claims cost affected by at least one concurrent, different insurance policy for the same insured ","Financial Growth Resources, Inc.","Michael R. Gamble, Jerry D. Wilson",1998-08-25,1998-08-25,2000-12-19,2000-12-19,https://patents.google.com/patent/US6163770A/en,https://patentimages.storage.googleapis.com/pages/US6163770-2.png
US-6735601-B1,System and method for remote file access by computer ,"Vmware, Inc.",Pratap Subrahmanyam,2000-12-29,2000-12-29,2004-05-11,2004-05-11,https://patents.google.com/patent/US6735601B1/en,https://patentimages.storage.googleapis.com/52/bd/b3/abad5adf8c639a/US06735601-20040511-D00000.png
US-7433951-B1,System and method for controlling resource revocation in a multi-guest computer system ,"Vmware, Inc.",Carl A. Waldspurger,2000-09-22,2000-09-22,2008-10-07,2008-10-07,https://patents.google.com/patent/US7433951B1/en,https://patentimages.storage.googleapis.com/US7433951B1/US07433951-20081007-D00000.png
US-8885882-B1,Real time eye tracking for human computer interaction ,The Research Foundation For The State University Of New York,"Lijun Yin, Michael Reale",2011-07-14,2012-07-16,2014-11-11,2014-11-11,https://patents.google.com/patent/US8885882B1/en,https://patentimages.storage.googleapis.com/b1/52/43/36b54b8c47f460/US08885882-20141111-D00000.png
US-5249295-A,Digital computer register allocation and code spilling using interference graph coloring ,Rice University,"Preston P. Briggs, Keith D. Cooper, Kenneth W. Kennedy, Jr., Linda M. Torczon",1990-06-20,1993-03-08,1993-09-28,1993-09-28,https://patents.google.com/patent/US5249295A/en,https://patentimages.storage.googleapis.com/pages/US5249295-1.png
US-6058266-A,"Method of, system for, and computer program product for performing weighted loop fusion by an optimizing compiler ",International Business Machines Corporation,"Nimrod Megiddo, Vivek Sarkar",1997-06-24,1997-06-24,2000-05-02,2000-05-02,https://patents.google.com/patent/US6058266A/en,https://patentimages.storage.googleapis.com/pages/US6058266-2.png
US-6496822-B2,Methods of providing computer systems with bundled access to restricted-access databases ,"Micron Technology, Inc.","Michael Rosenfelt, Mark Gonzales",1999-04-12,1999-04-12,2002-12-17,2002-12-17,https://patents.google.com/patent/US6496822B2/en,https://patentimages.storage.googleapis.com/08/29/7a/22c41df9ba6c0d/US06496822-20021217-D00000.png
US-6735596-B2,Computer method and user interface for decision analysis and for global system optimization ,Guy Charles Corynen,Guy Charles Corynen,2001-06-07,2001-06-07,2004-05-11,2004-05-11,https://patents.google.com/patent/US6735596B2/en,https://patentimages.storage.googleapis.com/23/a6/d3/d2d165dc6a913e/US06735596-20040511-D00000.png
US-2006129367-A1,"Systems, methods, and computer program products for system online availability estimation ",Duke University,"Kesari Mishra, Kishor Trivedi",2004-11-09,2004-11-09,2006-06-15,,https://patents.google.com/patent/US20060129367A1/en,https://patentimages.storage.googleapis.com/88/17/0d/c447772b8c231b/US20060129367A1-20060615-D00000.png
US-6411939-B1,"Computer-aided method, machine, and products produced thereby, for illustrating a replacement of a benefit plan that is viable at one location but not viable at the location of the replacement ","Offshore Benefits, Llc",David William Parsons,1999-05-17,1999-05-17,2002-06-25,2002-06-25,https://patents.google.com/patent/US6411939B1/en,https://patentimages.storage.googleapis.com/1f/a3/24/29b7b027268eca/US06411939-20020625-D00000.png
US-4713775-A,Intelligent assistant for using and operating computer system capabilities to solve problems ,"Teknowledge, Incorporated, Compagnie Generale De Geophysique","A. Carlisle Scott, Jan E. Clayton, Jacques Garnier",1985-08-21,1985-08-21,1987-12-15,1987-12-15,https://patents.google.com/patent/US4713775A/en,https://patentimages.storage.googleapis.com/pages/US4713775-1.png
US-6671811-B1,Features generation for use in computer network intrusion detection ,Visa Internation Service Association,"Thanh A. Diep, Sherif M. Botros, Martin D. Izenson",1999-10-25,1999-10-25,2003-12-30,2003-12-30,https://patents.google.com/patent/US6671811B1/en,https://patentimages.storage.googleapis.com/9d/77/ba/7af23d401cfc87/US06671811-20031230-D00000.png
