search URL:,https://patents.google.com/?q=%28deep+learning%29&language=ENGLISH&oq=%28deep+learning%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2015112182-A1,Method and System for Machine Learning Based Assessment of Fractional Flow Reserve ,Siemens Aktiengesellschaft,"Puneet Sharma, Ali Kamen, Bogdan Georgescu, Frank Sauer, Dorin Comaniciu, Yefeng Zheng, Hien Nguyen, Vivek Kumar Singh",2013-10-17,2014-10-16,2015-04-23,,https://patents.google.com/patent/US20150112182A1/en,https://patentimages.storage.googleapis.com/8a/0c/10/f2246196762d78/US20150112182A1-20150423-D00000.png
US-2015254555-A1,Classifying data with deep learning neural records incrementally refined through expert input ,"SignalSense, Inc.","David Russell Williams, Jr., Luke Robert Gutzwiller, Megan Ursula Hazen, Brigham Sterling Anderson, Alan McIntyre, Tom Abeles",2014-03-04,2015-03-04,2015-09-10,,https://patents.google.com/patent/US20150254555A1/en,https://patentimages.storage.googleapis.com/ec/0b/61/e100e2c6836cd7/US20150254555A1-20150910-D00000.png
US-2015293976-A1,Context-Sensitive Search Using a Deep Learning Model ,Microsoft Corporation,"Chenlei Guo, Jianfeng Gao, Ye-Yi Wang, Li Deng, Xiaodong He",2014-04-14,2014-04-14,2015-10-15,,https://patents.google.com/patent/US20150293976A1/en,https://patentimages.storage.googleapis.com/91/2a/8f/f85501e2f4b2f3/US20150293976A1-20151015-D00000.png
US-2015324690-A1,Deep Learning Training System ,Microsoft Corporation,"Trishul A. Chilimbi, Yutaka Suzue, Johnson R. Apacible, Karthik Kalyanaraman",2014-05-08,2014-09-22,2015-11-12,,https://patents.google.com/patent/US20150324690A1/en,https://patentimages.storage.googleapis.com/fb/b0/a8/640005e8019e4f/US20150324690A1-20151112-D00000.png
US-2015310862-A1,Deep learning for semantic parsing including semantic utterance classification ,Microsoft Corporation,"Yann Nicolas Dauphin, Dilek Z. Hakkani-Tur, Gokhan Tur, Larry Paul Heck",2014-04-24,2014-04-24,2015-10-29,,https://patents.google.com/patent/US20150310862A1/en,https://patentimages.storage.googleapis.com/66/c8/05/912acb36ec7f7f/US20150310862A1-20151029-D00000.png
CN-105184271-A,Automatic vehicle detection method based on deep learning ,"苏州派瑞雷尔智能科技有限公司, 青岛智能产业技术研究院, 江苏中科智能工程有限公司, 天问汇科（北京）技术有限公司","姚彦洁, 田滨, 王飞跃, 杨柳青",2015-09-18,2015-09-18,2015-12-23,,https://patents.google.com/patent/CN105184271A/en,
CN-104616033-A,Fault diagnosis method for rolling bearing based on deep learning and SVM (Support Vector Machine) ,重庆大学,"刘嘉敏, 刘军委, 刘亦哲, 罗甫林, 彭玲, 黄鸿",2015-02-13,2015-02-13,2015-05-13,,https://patents.google.com/patent/CN104616033A/en,
WO-2014205231-A1,Deep learning framework for generic object detection ,The Regents Of The University Of Michigan,"Honglak LEE, Kihyuk SOHN",2013-06-19,2014-06-19,2014-12-24,,https://patents.google.com/patent/WO2014205231A1/en,
CN-105160866-A,Traffic flow prediction method based on deep learning nerve network structure ,浙江高速信息工程技术有限公司,"黄步添, 方玖琳",2015-08-07,2015-08-07,2015-12-16,,https://patents.google.com/patent/CN105160866A/en,
CN-103996056-A,Tattoo image classification method based on deep learning ,浙江工业大学,"张永良, 肖健伟, 高思斌, 肖刚",2014-04-08,2014-04-08,2014-08-20,,https://patents.google.com/patent/CN103996056A/en,
CN-103530689-A,Deep learning-based clustering method ,中国科学院自动化研究所,"谭铁牛, 王亮, 黄永祯, 宋纯锋",2013-10-31,2013-10-31,2014-01-22,,https://patents.google.com/patent/CN103530689A/en,
CN-103593474-A,Image retrieval ranking method based on deep learning ,中国科学院自动化研究所,"徐常胜, 袁召全, 桑基韬",2013-11-28,2013-11-28,2014-02-19,,https://patents.google.com/patent/CN103593474A/en,
US-2015238148-A1,Method and system for anatomical object detection using marginal space deep neural networks ,Siemens Aktiengesellschaft,"Bogdan Georgescu, Yefeng Zheng, Hien Nguyen, Vivek Kumar Singh, Dorin Comaniciu, David Liu",2013-10-17,2015-05-12,2015-08-27,,https://patents.google.com/patent/US20150238148A1/en,https://patentimages.storage.googleapis.com/5a/bb/c8/9e91569bd0f42f/US20150238148A1-20150827-D00000.png
CN-103544392-A,Deep learning based medical gas identifying method ,电子科技大学,"刘启和, 陈雷霆, 蔡洪斌, 邱航, 蒲晓蓉, 胡晓楠",2013-10-23,2013-10-23,2014-01-29,,https://patents.google.com/patent/CN103544392A/en,
US-2015242463-A1,"Systems, apparatuses, and methods for deep learning of feature detectors with sparse coding ","Tsung-Han Lin, Hsiang-Tsung Kung","Tsung-Han Lin, Hsiang-Tsung Kung",2014-02-25,2014-06-20,2015-08-27,,https://patents.google.com/patent/US20150242463A1/en,https://patentimages.storage.googleapis.com/40/69/26/a57e156c7ba69c/US20150242463A1-20150827-D00000.png
US-2016142266-A1,Extracting dependencies between network assets using deep learning ,Battelle Memorial Institute,"Thomas E. Carroll, Satish Chikkagoudar, Thomas W. Edgar, Kiri J. Oler, Kristine M. Arthur, Daniel M. Johnson, Lars J. Kangas",2014-11-19,2014-11-19,2016-05-19,,https://patents.google.com/patent/US20160142266A1/en,https://patentimages.storage.googleapis.com/2f/61/a2/d1485265ae895d/US20160142266A1-20160519-D00000.png
US-2016174902-A1,Method and System for Anatomical Object Detection Using Marginal Space Deep Neural Networks ,Siemens Aktiengesellschaft,"Bogdan Georgescu, Yefeng Zheng, Hien Hguyen, Vivek Kumar Singh, Dorin Comaniciu, David Liu",2013-10-17,2016-02-26,2016-06-23,,https://patents.google.com/patent/US20160174902A1/en,https://patentimages.storage.googleapis.com/f2/f4/05/dd991fe88a6d75/US20160174902A1-20160623-D00000.png
CN-103778414-A,Real-time face recognition method based on deep neural network ,杭州电子科技大学,"罗志增, 邢健飞, 席旭刚, 高云园",2014-01-17,2014-01-17,2014-05-07,,https://patents.google.com/patent/CN103778414A/en,
US-2013138436-A1,Discriminative pretraining of deep neural networks ,Microsoft Corporation,"Dong Yu, Li Deng, Frank Torsten Bernd Seide, Gang Li",2011-11-26,2011-11-26,2013-05-30,,https://patents.google.com/patent/US20130138436A1/en,https://patentimages.storage.googleapis.com/51/12/0d/cc6d2977941694/US20130138436A1-20130530-D00000.png
US-2011093459-A1,Incorporating Recency in Network Search Using Machine Learning ,Yahoo! Inc.,"Anlei Dong, Yi Chang, Ruiqiang Zhang, Zhaohui Zheng, Gilad Avraham Mishne, Jing Bai, Karolina Barbara Buchner, Ciya Liao, Shihao Ji, Gilbert Leung, Georges-Eric Albert Marie Robert Dupret, Ling Liu",2009-10-15,2009-10-15,2011-04-21,,https://patents.google.com/patent/US20110093459A1/en,https://patentimages.storage.googleapis.com/cb/bd/e4/532e5c3c03a103/US20110093459A1-20110421-D00000.png
US-2016328643-A1,Method and System for Approximating Deep Neural Networks for Anatomical Object Detection ,Siemens Aktiengesellschaft,"David Liu, Nathan Lay, Shaohua Kevin Zhou, Jan KRETSCHMER, Hien Nguyen, Vivek Kumar Singh, Yefeng Zheng, Bogdan Georgescu, Dorin Comaniciu",2015-05-07,2015-05-07,2016-11-10,,https://patents.google.com/patent/US20160328643A1/en,https://patentimages.storage.googleapis.com/2a/f4/73/31f14febcb910c/US20160328643A1-20161110-D00000.png
US-2009204558-A1,Method for training a learning machine having a deep multi-layered network with labeled and unlabeled training data ,"Nec Laboratories America, Inc.","Jason Weston, Ronan Collobert",2008-02-07,2009-02-06,2009-08-13,,https://patents.google.com/patent/US20090204558A1/en,
CN-103823845-A,Method for automatically annotating remote sensing images on basis of deep learning ,浙江大学,"陈华钧, 黄梅龙, 江琳, 陶金火, 杨建华, 郑国轴, 吴朝晖",2014-01-28,2014-01-28,2014-05-28,,https://patents.google.com/patent/CN103823845A/en,
CN-104268200-A,Unsupervised named entity semantic disambiguation method based on deep learning ,中科嘉速(北京)并行软件有限公司,"余雷, 邓攀, 闫碧莹, 袁伟, 李玉成, 万安格",2013-09-22,2014-09-22,2015-01-07,,https://patents.google.com/patent/CN104268200A/en,
CN-103530657-A,Deep learning human face identification method based on weighting L2 extraction ,华南理工大学,"郭礼华, 牛新亚",2013-09-26,2013-09-26,2014-01-22,,https://patents.google.com/patent/CN103530657A/en,
US-2016093048-A1,Deep similarity learning for multimodal medical images ,Siemens Healthcare Gmbh,"Xi Cheng, Li Zhang, Yefeng Zheng",2014-09-25,2015-09-25,2016-03-31,,https://patents.google.com/patent/US20160093048A1/en,https://patentimages.storage.googleapis.com/5e/ce/21/6d0eac4c474b47/US20160093048A1-20160331-D00000.png
