search URL:,https://patents.google.com/?q=%28deep+neural+networks%29&language=ENGLISH&oq=%28deep+neural+networks%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8527276-B1,Speech synthesis using deep neural networks ,Google Inc.,"Andrew William Senior, Byungha Chun, Michael Schuster",2012-10-25,2012-10-25,2013-09-03,2013-09-03,https://patents.google.com/patent/US8527276B1/en,https://patentimages.storage.googleapis.com/b3/a0/c3/3c17cd1c0e6dd7/US08527276-20130903-D00000.png
US-2013138436-A1,Discriminative pretraining of deep neural networks ,Microsoft Corporation,"Dong Yu, Li Deng, Frank Torsten Bernd Seide, Gang Li",2011-11-26,2011-11-26,2013-05-30,,https://patents.google.com/patent/US20130138436A1/en,https://patentimages.storage.googleapis.com/51/12/0d/cc6d2977941694/US20130138436A1-20130530-D00000.png
US-2014142929-A1,Deep neural networks training for speech and pattern recognition ,Microsoft Corporation,"Frank Torsten Bernd Seide, Gang Li, Dong Yu, Adam C. Eversole, Xie Chen",2012-11-20,2012-11-20,2014-05-22,,https://patents.google.com/patent/US20140142929A1/en,https://patentimages.storage.googleapis.com/96/d6/75/705bc7fd230041/US20140142929A1-20140522-D00000.png
US-2014372112-A1,Restructuring deep neural network acoustic models ,Microsoft Corporation,"Jian Xue, Emilian Stoimenov, Jinyu Li, Yifan Gong",2013-06-18,2013-06-18,2014-12-18,,https://patents.google.com/patent/US20140372112A1/en,https://patentimages.storage.googleapis.com/56/9b/55/38964c8f1632d1/US20140372112A1-20141218-D00000.png
US-2015238148-A1,Method and system for anatomical object detection using marginal space deep neural networks ,Siemens Aktiengesellschaft,"Bogdan Georgescu, Yefeng Zheng, Hien Nguyen, Vivek Kumar Singh, Dorin Comaniciu, David Liu",2013-10-17,2015-05-12,2015-08-27,,https://patents.google.com/patent/US20150238148A1/en,https://patentimages.storage.googleapis.com/5a/bb/c8/9e91569bd0f42f/US20150238148A1-20150827-D00000.png
US-2014257803-A1,Conservatively adapting a deep neural network in a recognition system ,Microsoft Corporation,"Dong Yu, Kaisheng Yao, Hang Su, Gang Li, Frank Seide",2013-03-06,2013-03-06,2014-09-11,,https://patents.google.com/patent/US20140257803A1/en,https://patentimages.storage.googleapis.com/d2/8c/2c/ae9b8607e111bf/US20140257803A1-20140911-D00000.png
US-6128609-A,Training a neural network using differential input ,Ralph E. Rose,Ralph E. Rose,1997-10-14,1997-10-14,2000-10-03,2000-10-03,https://patents.google.com/patent/US6128609A/en,https://patentimages.storage.googleapis.com/pages/US6128609-1.png
US-2016035078-A1,Image assessment using deep convolutional neural networks ,Adobe Systems Incorporated,"Zhe Lin, Hailin Jin, Jianchao Yang",2014-07-30,2014-07-30,2016-02-04,,https://patents.google.com/patent/US20160035078A1/en,https://patentimages.storage.googleapis.com/c7/ee/c9/f8221649ad713c/US20160035078A1-20160204-D00000.png
US-2009210218-A1,Deep Neural Networks and Methods for Using Same ,"Nec Laboratories America, Inc.","Ronan Collobert, Jason Weston",2008-02-07,2009-02-09,2009-08-20,,https://patents.google.com/patent/US20090210218A1/en,
US-2016174902-A1,Method and System for Anatomical Object Detection Using Marginal Space Deep Neural Networks ,Siemens Aktiengesellschaft,"Bogdan Georgescu, Yefeng Zheng, Hien Hguyen, Vivek Kumar Singh, Dorin Comaniciu, David Liu",2013-10-17,2016-02-26,2016-06-23,,https://patents.google.com/patent/US20160174902A1/en,https://patentimages.storage.googleapis.com/f2/f4/05/dd991fe88a6d75/US20160174902A1-20160623-D00000.png
