search URL:,https://patents.google.com/?q=%28information+processing%29&language=ENGLISH&oq=%28information+processing%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6567068-B2,Information processing device and method ,Sony Corporation,Junichi Rekimoto,1996-08-05,1997-07-29,2003-05-20,2003-05-20,https://patents.google.com/patent/US6567068B2/en,https://patentimages.storage.googleapis.com/ad/18/16/bf71c6d69de9cb/US06567068-20030520-D00000.png
US-6633759-B1,"Communication system, and mobile communication device, portable information processing device, and data communication method used in the system ",Kabushiki Kaisha Toshiba,Koichi Kobayashi,1999-09-30,2000-09-01,2003-10-14,2003-10-14,https://patents.google.com/patent/US6633759B1/en,https://patentimages.storage.googleapis.com/2c/a3/8b/6b7c342e066a62/US06633759-20031014-D00000.png
US-5719799-A,Portable information processing apparatus ,"Olympus Optical Co., Ltd.",Yasuo Isashi,1994-07-07,1995-06-06,1998-02-17,1998-02-17,https://patents.google.com/patent/US5719799A/en,https://patentimages.storage.googleapis.com/pages/US5719799-1.png
US-5900848-A,Information processing apparatus ,Sharp Kabushiki Kaisha,"Isamu Haneda, Toshio Isoe",1996-05-17,1997-04-09,1999-05-04,1999-05-04,https://patents.google.com/patent/US5900848A/en,https://patentimages.storage.googleapis.com/pages/US5900848-1.png
US-5721840-A,Information processing apparatus incorporating automatic SCSI ID generation ,"Olympus Optical Co., Ltd.",Takumi Soga,1993-09-20,1996-10-16,1998-02-24,1998-02-24,https://patents.google.com/patent/US5721840A/en,https://patentimages.storage.googleapis.com/pages/US5721840-1.png
US-6665806-B1,Power saving for a portable information processing apparatus using switch that shuts off power to sub memory block when in battery mode and supplies power when in AC mode ,"Ricoh Company, Ltd.",Yutaka Shimizu,1999-01-20,2000-01-20,2003-12-16,2003-12-16,https://patents.google.com/patent/US6665806B1/en,https://patentimages.storage.googleapis.com/a1/68/4a/ad827c5b428764/US06665806-20031216-D00000.png
US-5502803-A,Information processing apparatus having a gesture editing function ,Sharp Kabushiki Kaisha,"Hiroichi Yoshida, Junko Morimura, Kazuhiko Matsuo, Kazuhiko Takata",1993-01-18,1994-01-13,1996-03-26,1996-03-26,https://patents.google.com/patent/US5502803A/en,https://patentimages.storage.googleapis.com/pages/US5502803-1.png
US-3950733-A,Information processing system ,Nestor Associates,"Leon N. Cooper, Charles Elbaum",1974-06-06,1974-06-06,1976-04-13,1976-04-13,https://patents.google.com/patent/US3950733A/en,https://patentimages.storage.googleapis.com/pages/US3950733-1.png
US-4254474-A,Information processing system using threshold passive modification ,Nestor Associates,"Leon N. Cooper, Charles Elbaum",1979-08-02,1979-08-02,1981-03-03,1981-03-03,https://patents.google.com/patent/US4254474A/en,https://patentimages.storage.googleapis.com/pages/US4254474-1.png
US-5396443-A,Information processing apparatus including arrangements for activation to and deactivation from a power-saving state ,"Hitachi, Ltd.","Michihiro Mese, Toshio Kamimura, Shigeto Oeda, Hitoshi Yonenaga",1992-10-07,1993-10-07,1995-03-07,1995-03-07,https://patents.google.com/patent/US5396443A/en,https://patentimages.storage.googleapis.com/pages/US5396443-1.png
US-6360004-B1,Touch pad having fingerprint detecting function and information processing apparatus employing the same ,"Matsushita Electric Industrial Co., Ltd.",Satoru Akizuki,1998-03-26,1998-12-29,2002-03-19,2002-03-19,https://patents.google.com/patent/US6360004B1/en,https://patentimages.storage.googleapis.com/db/fd/4c/354f795b130fc2/US06360004-20020319-D00000.png
US-6621508-B1,Information processing system ,Seiko Epson Corporation,"Atsushi Shiraishi, Keisuke Tsuji, Roy Nakashima",2000-01-18,2000-01-18,2003-09-16,2003-09-16,https://patents.google.com/patent/US6621508B1/en,https://patentimages.storage.googleapis.com/e8/6d/79/6bee6fa2c54cd3/US06621508-20030916-D00000.png
US-7412615-B2,Information processing equipment and power consumption control method ,Sony Corporation,"Junichi Yokota, Atsuo Okamoto, Keiji Kanota, Ryogo Ito",2003-02-10,2003-12-25,2008-08-12,2008-08-12,https://patents.google.com/patent/US7412615B2/en,https://patentimages.storage.googleapis.com/US7412615B2/US07412615-20080812-D00000.png
US-6611258-B1,Information processing apparatus and its method ,Canon Kabushiki Kaisha,"Atsushi Tanaka, Yuichiro Yoshimura, Ryozo Yanagisawa, Katsuyuki Kobayashi, Masaki Tokioka, Hajime Sato",1996-01-11,1996-12-31,2003-08-26,2003-08-26,https://patents.google.com/patent/US6611258B1/en,https://patentimages.storage.googleapis.com/af/80/a0/6b6c3364d2c3e8/US06611258-20030826-D00000.png
US-5995623-A,Information processing apparatus with a software protecting function ,"Fuji Xerox Co., Ltd.","Kenji Kawano, Masahiro Taguchi, Kazuo Saito",1996-01-30,1997-01-27,1999-11-30,1999-11-30,https://patents.google.com/patent/US5995623A/en,https://patentimages.storage.googleapis.com/pages/US5995623-1.png
US-7190971-B1,"Information processing apparatus and method, information processing system, and transmission medium ",Sony Corporation,Yoji Kawamoto,1997-07-29,1998-07-29,2007-03-13,2007-03-13,https://patents.google.com/patent/US7190971B1/en,https://patentimages.storage.googleapis.com/US7190971B1/US07190971-20070313-D00000.png
US-6259469-B1,"Information processing device, information processing method, and recording media ",Nikon Corporation,"Satoshi Ejima, Akira Ohmura",1997-09-05,1998-09-02,2001-07-10,2001-07-10,https://patents.google.com/patent/US6259469B1/en,https://patentimages.storage.googleapis.com/01/6c/94/cc859f63c29415/US06259469-20010710-D00000.png
US-5881231-A,Information processing system using information caching based on user activity ,Kabushiki Kaisha Toshiba,"Masahiro Takagi, Takashi Kamitake",1995-03-07,1996-03-07,1999-03-09,1999-03-09,https://patents.google.com/patent/US5881231A/en,https://patentimages.storage.googleapis.com/pages/US5881231-1.png
US-5857024-A,IC card and authentication method for information processing apparatus ,International Business Machines Corporation,"Kiyoshi Nishino, Takashi Oshiyama",1995-10-02,1996-10-02,1999-01-05,1999-01-05,https://patents.google.com/patent/US5857024A/en,https://patentimages.storage.googleapis.com/pages/US5857024-1.png
US-6427115-B1,Portable terminal and on-vehicle information processing device ,Toyota Jidosha Kabushiki Kaisha,Hiroaki Sekiyama,1999-06-23,2000-06-14,2002-07-30,2002-07-30,https://patents.google.com/patent/US6427115B1/en,https://patentimages.storage.googleapis.com/2c/e4/95/35af69783343e0/US06427115-20020730-D00000.png
US-6078520-A,Flash memory control method and information processing system therewith ,"Hitachi, Ltd., Hitachi Keiyo Engineering Co., Ltd., Hitachi Ulsi","Tsunehiro Tobita, Jun Kitahara, Takashi Tsunehiro, Kunihiro Katayama, Ryuichi Hattori, Yukihiro Seki, Hajime Yamagami, Takashi Totsuka, Takeshi Wada, Yosio Takaya, Manabu Saito, Kenichi Kaki, Takao Okubo, Takashi Kikuchi, Masamichi Kishi, Takeshi Suzuki, Shigeru Kadowaki",1993-04-08,1999-07-21,2000-06-20,2000-06-20,https://patents.google.com/patent/US6078520A/en,https://patentimages.storage.googleapis.com/pages/US6078520-10.png
US-5644469-A,Information processing apparatus support system with support arms which are capable of closing toward a keyboard unit or away from a keyboard unit ,Canon Kabushiki Kaisha,"Yasushi Shioya, Yasutoshi Sugita, Kiyoharu Yoshioka, Yoshiaki Nakashima",1991-03-06,1994-07-07,1997-07-01,1997-07-01,https://patents.google.com/patent/US5644469A/en,https://patentimages.storage.googleapis.com/pages/US5644469-1.png
US-7327478-B2,"Image processing device, information processing method and computer-readable storage medium storing a control program for performing an operation based on whether a function is being set or requested to be set ",Canon Kabushiki Kaisha,Hiroshi Matsuda,2001-03-02,2002-02-28,2008-02-05,2008-02-05,https://patents.google.com/patent/US7327478B2/en,https://patentimages.storage.googleapis.com/US7327478B2/US07327478-20080205-D00000.png
US-6138203-A,Information processing apparatus and method enabling a write-once recording medium to be utilized as a rewriteable recording medium ,Sony Corporation,"Tatsuya Inokuchi, Osamu Udagawa, Yasuyoshi Kaneko",1995-11-10,1996-10-31,2000-10-24,2000-10-24,https://patents.google.com/patent/US6138203A/en,https://patentimages.storage.googleapis.com/pages/US6138203-1.png
US-6965376-B2,"Video or information processing method and processing apparatus, and monitoring method and monitoring apparatus using the same ","Hitachi, Ltd.","Masayuki Tani, Kimiya Yamaashi, Koichiro Tanikoshi, Masayasu Futakawa, Shinya Tanifuji, Atsuhiko Nishikawa, Atsuhiko Hirota",1991-04-08,2001-05-01,2005-11-15,2005-11-15,https://patents.google.com/patent/US6965376B2/en,https://patentimages.storage.googleapis.com/a1/ae/eb/ab51f3cde060b4/US06965376-20051115-D00000.png
US-6055536-A,Information processing apparatus and information processing method ,Sony Corporation,"Masato Shimakawa, Makoto Akabane, Bao Hongchang, Junichi Rekimoto, Hiroaki Kitano, Kazunori Sasano, Kazuo Ishii, Keiichi Yamada, Hiroaki Ogawa, Hiroshi Kakuda, Yasuharu Asano, Hitoshi Honda, Satoshi Fujimura, Atsuo Hiroe",1996-06-11,1997-06-03,2000-04-25,2000-04-25,https://patents.google.com/patent/US6055536A/en,https://patentimages.storage.googleapis.com/pages/US6055536-1.png
US-5671226-A,Multimedia information processing system ,Mitsubishi Denki Kabushiki Kaisha,"Tokumichi Murakami, Kazuhiro Matsuzaki, Yoshiaki Kato, Hideo Ohira",1995-02-09,1995-06-05,1997-09-23,1997-09-23,https://patents.google.com/patent/US5671226A/en,https://patentimages.storage.googleapis.com/pages/US5671226-1.png
US-5572644-A,System and methods for multi-dimensional information processing ,"Borland International, Inc.","Weikuo Liaw, L. Spencer II Percy, David A. Orton",1992-04-08,1993-03-10,1996-11-05,1996-11-05,https://patents.google.com/patent/US5572644A/en,https://patentimages.storage.googleapis.com/pages/US5572644-1.png
US-5619716-A,Information processing system having a configuration management system for managing the software of the information processing system ,"Hitachi, Ltd.","Naomichi Nonaka, Keiichi Nakane, Hiromichi Itoh, Hideaki Ishida",1991-11-05,1995-06-06,1997-04-08,1997-04-08,https://patents.google.com/patent/US5619716A/en,https://patentimages.storage.googleapis.com/pages/US5619716-1.png
US-5977974-A,Information processing apparatus and method ,Canon Kabushiki Kaisha,"Kenji Hatori, Hideo Takiguchi",1996-09-17,1997-09-15,1999-11-02,1999-11-02,https://patents.google.com/patent/US5977974A/en,https://patentimages.storage.googleapis.com/pages/US5977974-1.png
US-5379374-A,Collaborative information processing system and workstation ,"Hitachi, Ltd.","Takeshi Ishizaki, Yoshiyuki Nakayama, Kenjiro Mori, Fumio Nakamura, Tadashi Yamamitsu",1990-11-21,1991-11-21,1995-01-03,1995-01-03,https://patents.google.com/patent/US5379374A/en,https://patentimages.storage.googleapis.com/pages/US5379374-1.png
US-6571240-B1,Information processing for searching categorizing information in a document based on a categorization hierarchy and extracted phrases ,"Chi Fai Ho, Peter P. Tong","Chi Fai Ho, Peter P. Tong",2000-02-02,2000-02-02,2003-05-27,2003-05-27,https://patents.google.com/patent/US6571240B1/en,https://patentimages.storage.googleapis.com/f8/6e/60/3db0c4d8444230/US06571240-20030527-D00000.png
US-5807256-A,Medical information processing system for supporting diagnosis ,Kabushiki Kaisha Toshiba,"Katsuyuki Taguchi, Shinich Yamada, Takehiro Ema",1993-03-01,1997-01-02,1998-09-15,1998-09-15,https://patents.google.com/patent/US5807256A/en,https://patentimages.storage.googleapis.com/pages/US5807256-1.png
US-5956021-A,Method and device for inputting information for a portable information processing device that uses a touch screen ,"Matsushita Electric Industrial Co., Ltd.","Jun'ichi Kubota, Yoshio Yamamoto, Yukie Syoda",1995-09-20,1996-09-20,1999-09-21,1999-09-21,https://patents.google.com/patent/US5956021A/en,https://patentimages.storage.googleapis.com/pages/US5956021-1.png
US-5790898-A,Information processing apparatus using finite state machine ,"Yamatake-Honeywell Co., Ltd.","Shuzo Kishima, Kiyoshi Ito",1992-09-14,1997-03-24,1998-08-04,1998-08-04,https://patents.google.com/patent/US5790898A/en,https://patentimages.storage.googleapis.com/pages/US5790898-1.png
US-5489995-A,"Contact type image sensor, producing method of the same, and information processing apparatus ",Canon Kabushiki Kaisha,"Toshimitsu Iso, Kenji Nagata",1992-06-11,1994-07-06,1996-02-06,1996-02-06,https://patents.google.com/patent/US5489995A/en,https://patentimages.storage.googleapis.com/pages/US5489995-1.png
US-6438457-B1,"Storage medium, robot, information processing device and electronic pet system ",Sony Corporation,"Naohiro Yokoo, Yasuhiko Kato, Masakazu Hattori, Masahiro Fujita, Hiroaki Kitano",1997-08-22,2001-10-10,2002-08-20,2002-08-20,https://patents.google.com/patent/US6438457B1/en,https://patentimages.storage.googleapis.com/0f/7a/e9/7c9ed1f217b871/US06438457-20020820-D00000.png
US-5781662-A,Information processing apparatus and method therefor ,Canon Kabushiki Kaisha,"Shigeki Mori, Kazutoshi Shimada, Eisaku Tatsumi, Kazuhiro Matsubayashi, Shinichi Sunakawa, Takashi Harada, Katsuhiko Nagasaki, Ryoji Fukuda",1994-06-21,1995-06-07,1998-07-14,1998-07-14,https://patents.google.com/patent/US5781662A/en,https://patentimages.storage.googleapis.com/pages/US5781662-1.png
