search URL:,https://patents.google.com/?q=%28machine+learning%29&language=ENGLISH&oq=%28machine+learning%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7197497-B2,Method and apparatus for machine learning a document relevance function ,"Overture Services, Inc.",David Cossock,2003-04-25,2003-04-25,2007-03-27,2007-03-27,https://patents.google.com/patent/US7197497B2/en,https://patentimages.storage.googleapis.com/c4/07/f8/994247163bf453/US07197497-20070327-D00001.png
US-6424997-B1,Machine learning based electronic messaging system ,International Business Machines Corporation,"Martin C. Buskirk, Jr., Frederick J. Damerau, David H. Johnson, Marguerite Raaen",1999-01-27,1999-01-27,2002-07-23,2002-07-23,https://patents.google.com/patent/US6424997B1/en,https://patentimages.storage.googleapis.com/0a/dc/28/cd9c3aa41a5227/US06424997-20020723-D00000.png
US-8682812-B1,Machine learning based botnet detection using real-time extracted traffic features ,"Narus, Inc.",Supranamaya Ranjan,2010-12-23,2010-12-23,2014-03-25,2014-03-25,https://patents.google.com/patent/US8682812B1/en,https://patentimages.storage.googleapis.com/cd/41/03/e6bf69a5840cca/US08682812-20140325-D00000.png
US-7149347-B1,Machine learning of document templates for data extraction ,Science Applications International Corporation,Janusz Wnek,2000-03-02,2000-03-02,2006-12-12,2006-12-12,https://patents.google.com/patent/US7149347B1/en,https://patentimages.storage.googleapis.com/US7149347B1/US07149347-20061212-D00000.png
US-5526281-A,Machine-learning approach to modeling biological activity for molecular design and to modeling other characteristics ,Arris Pharmaceutical Corporation,"David Chapman, Roger Critchlow, Ajay N. Jain, Rick Lathrop, Tomas L. Perez, Tom Dietterich",1993-05-21,1994-10-28,1996-06-11,1996-06-11,https://patents.google.com/patent/US5526281A/en,https://patentimages.storage.googleapis.com/pages/US5526281-10.png
US-8402543-B1,Machine learning based botnet detection with dynamic adaptation ,"Narus, Inc.","Supranamaya Ranjan, Feilong Chen",2011-03-25,2011-03-25,2013-03-19,2013-03-19,https://patents.google.com/patent/US8402543B1/en,https://patentimages.storage.googleapis.com/86/65/2f/cdfebb3526595e/US08402543-20130319-D00000.png
US-5819247-A,Apparatus and methods for machine learning hypotheses ,"Lucent Technologies, Inc.","Yoav Freund, Robert Elias Schapire",1995-02-09,1997-07-29,1998-10-06,1998-10-06,https://patents.google.com/patent/US5819247A/en,https://patentimages.storage.googleapis.com/pages/US5819247-1.png
US-5793888-A,Machine learning apparatus and method for image searching ,Massachusetts Institute Of Technology,Richard L. Delanoy,1994-11-14,1997-01-29,1998-08-11,1998-08-11,https://patents.google.com/patent/US5793888A/en,https://patentimages.storage.googleapis.com/pages/US5793888-2.png
US-8762298-B1,Machine learning based botnet detection using real-time connectivity graph based traffic features ,"Narus, Inc.","Supranamaya Ranjan, Joshua Robinson, Feilong Chen",2011-01-05,2011-01-05,2014-06-24,2014-06-24,https://patents.google.com/patent/US8762298B1/en,https://patentimages.storage.googleapis.com/15/2e/b5/4a2afdc07cb379/US08762298-20140624-D00000.png
US-7024033-B2,Method for boosting the performance of machine-learning classifiers ,Microsoft Corp.,"ZiQing Li, ZhenQiu Zhang, Long Zhu",2001-12-08,2002-03-04,2006-04-04,2006-04-04,https://patents.google.com/patent/US7024033B2/en,https://patentimages.storage.googleapis.com/da/d3/29/417a9f546504cb/US07024033-20060404-D00006.png
