search URL:,https://patents.google.com/?q=neural+networks&language=ENGLISH&oq=neural+networks
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6725208-B1,Bayesian neural networks for optimization and control ,"Pavilion Technologies, Inc.","Eric Jon Hartman, Carsten Peterson, Stephen Piche",1998-10-06,1999-04-12,2004-04-20,2004-04-20,https://patents.google.com/patent/US6725208B1/en,https://patentimages.storage.googleapis.com/cd/0b/3c/3e4d7c029eb5b7/US06725208-20040420-D00000.png
US-5408586-A,Historical database training method for neural networks ,"E. I. Du Pont De Nemours & Co., Inc.",Richard D. Skeirik,1990-08-03,1993-04-02,1995-04-18,1995-04-18,https://patents.google.com/patent/US5408586A/en,https://patentimages.storage.googleapis.com/pages/US5408586-10.png
US-5737485-A,Method and apparatus including microphone arrays and neural networks for speech/speaker recognition systems ,Rutgers The State University Of New Jersey,"James L. Flanagan, Qiguang Lin, Mazin Rahim, Chiwei Che",1995-03-07,1995-03-07,1998-04-07,1998-04-07,https://patents.google.com/patent/US5737485A/en,https://patentimages.storage.googleapis.com/pages/US5737485-1.png
US-5140530-A,Genetic algorithm synthesis of neural networks ,Honeywell Inc.,"Aloke Guha, Steven A. Harp, Tariq Samad",1989-03-28,1989-03-28,1992-08-18,1992-08-18,https://patents.google.com/patent/US5140530A/en,https://patentimages.storage.googleapis.com/pages/US5140530-1.png
US-6014653-A,Non-algorithmically implemented artificial neural networks and components thereof ,Thaler; Stephen L.,Stephen L. Thaler,1996-01-26,1998-05-15,2000-01-11,2000-01-11,https://patents.google.com/patent/US6014653A/en,https://patentimages.storage.googleapis.com/pages/US6014653-1.png
US-5515477-A,Neural networks ,Sutherland; John,John Sutherland,1991-04-22,1992-04-22,1996-05-07,1996-05-07,https://patents.google.com/patent/US5515477A/en,https://patentimages.storage.googleapis.com/pages/US5515477-1.png
US-6539304-B1,GPS navigation system using neural networks ,"Sirf Technology, Inc.",Mangesh M. Chansarkar,2000-09-14,2001-11-02,2003-03-25,2003-03-25,https://patents.google.com/patent/US6539304B1/en,https://patentimages.storage.googleapis.com/39/10/43/f15d159189f5ea/US06539304-20030325-D00000.png
US-5331550-A,Application of neural networks as an aid in medical diagnosis and general anomaly detection ,E. I. Du Pont De Nemours And Company,"Richard G. Stafford, daniel J. Mickewich, Jacob Beutel",1991-03-05,1993-02-11,1994-07-19,1994-07-19,https://patents.google.com/patent/US5331550A/en,https://patentimages.storage.googleapis.com/pages/US5331550-1.png
US-5717832-A,Neural semiconductor chip and neural networks incorporated therein ,International Business Machines Corporation,"Andre Steimle, Pascal Tannhof, Guy Paillet",1994-07-28,1995-06-07,1998-02-10,1998-02-10,https://patents.google.com/patent/US5717832A/en,https://patentimages.storage.googleapis.com/pages/US5717832-1.png
US-5541590-A,Vehicle crash predictive and evasive operation system by neural networks ,Takata Corporation,Tomoyuki Nishio,1992-08-04,1995-01-19,1996-07-30,1996-07-30,https://patents.google.com/patent/US5541590A/en,https://patentimages.storage.googleapis.com/pages/US5541590-1.png
US-6480299-B1,Color printer characterization using optimization theory and neural networks ,University Technology Corporation,"Paul Apostolos Drakopoulos, Ganesh Subbarayan",1997-11-25,1998-11-25,2002-11-12,2002-11-12,https://patents.google.com/patent/US6480299B1/en,https://patentimages.storage.googleapis.com/2d/97/8d/607c41313be66e/US06480299-20021112-D00000.png
