search URL:,https://patents.google.com/?q=%28thinking+machines%29&language=ENGLISH&oq=%28thinking+machines%29+language:ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2006217818-A1,"Learning/thinking machine and learning/thinking method based on structured knowledge, computer system, and information generation method ",Yuzuru Fujiwara,Yuzuru Fujiwara,2002-10-18,2003-10-17,2006-09-28,,https://patents.google.com/patent/US20060217818A1/en,https://patentimages.storage.googleapis.com/56/64/33/b817427b5537a9/US20060217818A1-20060928-D00000.png
US-6233545-B1,Universal machine translator of arbitrary languages utilizing epistemic moments ,William E. Datig,William E. Datig,1997-05-01,1998-03-03,2001-05-15,2001-05-15,https://patents.google.com/patent/US6233545B1/en,https://patentimages.storage.googleapis.com/0e/62/d8/6480bffc7bbdbf/US06233545-20010515-D00000.png
US-6341372-B1,Universal machine translator of arbitrary languages ,William E. Datig,William E. Datig,1997-05-01,1997-06-16,2002-01-22,2002-01-22,https://patents.google.com/patent/US6341372B1/en,https://patentimages.storage.googleapis.com/dd/d6/81/ab12d167e0c0cb/US06341372-20020122-D00000.png
US-2007219980-A1,Thinking search engines ,Polycarpe Songfack,Polycarpe Songfack,2006-03-20,2006-03-20,2007-09-20,,https://patents.google.com/patent/US20070219980A1/en,https://patentimages.storage.googleapis.com/95/06/23/1eda998c850d29/US20070219980A1-20070920-D00000.png
US-5274818-A,System and method for compiling a fine-grained array based source program onto a course-grained hardware ,Thinking Machines Corporation,"Alexander D. Vasilevsky, Gary W. Sabot, Clifford A. Lasser, Lisa A. Tennies, Tobias M. Weinberg, Linda J. Seamonson",1992-02-03,1992-02-03,1993-12-28,1993-12-28,https://patents.google.com/patent/US5274818A/en,https://patentimages.storage.googleapis.com/pages/US5274818-1.png
US-4870568-A,Method for searching a database system including parallel processors ,Thinking Machines Corporation,"Brewster Kahle, Craig W. Stanfill",1986-06-25,1986-06-25,1989-09-26,1989-09-26,https://patents.google.com/patent/US4870568A/en,https://patentimages.storage.googleapis.com/pages/US4870568-1.png
US-5613136-A,"Locality manager having memory and independent code, bus interface logic, and synchronization components for a processing element for intercommunication in a latency tolerant multiple processor ",University Of Iowa Research Foundation,"Thomas L. Casavant, Samuel A. Fineberg, Devin L. Bright, Subbiah Sundaram, Michelle L. Roderick",1991-12-04,1993-10-29,1997-03-18,1997-03-18,https://patents.google.com/patent/US5613136A/en,https://patentimages.storage.googleapis.com/pages/US5613136-1.png
US-5251131-A,Classification of data records by comparison of records to a training database using probability weights ,Thinking Machines Corporation,"Brij M. Masand, Stephen J. Smith",1991-07-31,1991-07-31,1993-10-05,1993-10-05,https://patents.google.com/patent/US5251131A/en,https://patentimages.storage.googleapis.com/pages/US5251131-1.png
US-2005005266-A1,Method of and apparatus for realizing synthetic knowledge processes in devices for useful applications ,Datig William E.,William Datig,1997-05-01,2004-03-26,2005-01-06,,https://patents.google.com/patent/US20050005266A1/en,https://patentimages.storage.googleapis.com/7c/11/c1/7a27896bdd2cf8/US20050005266A1-20050106-D00000.png
US-5381550-A,System and method for compiling a source code supporting data parallel variables ,Thinking Machines Corporation,"Karen C. Jourdenais, James L. Frankel, Steven N. Goldhaber, Linda J. Seamonson",1991-12-13,1994-01-10,1995-01-10,1995-01-10,https://patents.google.com/patent/US5381550A/en,https://patentimages.storage.googleapis.com/pages/US5381550-1.png
US-5355492-A,System for compiling parallel communications instructions including their embedded data transfer information ,Thinking Machines Corporation,"James L. Frankel, Michael L. Best, Karen C. Jourdenais, Joshua E. Simons, Steven J. Sistare",1991-11-05,1991-11-05,1994-10-11,1994-10-11,https://patents.google.com/patent/US5355492A/en,https://patentimages.storage.googleapis.com/pages/US5355492-1.png
US-4809202-A,Method and apparatus for simulating systems described by partial differential equations ,Thinking Machines Corporation,Stephen Wolfram,1985-12-27,1985-12-27,1989-02-28,1989-02-28,https://patents.google.com/patent/US4809202A/en,https://patentimages.storage.googleapis.com/pages/US4809202-1.png
US-5355494-A,Compiler for performing incremental live variable analysis for data-parallel programs ,Thinking Machines Corporation,"Steven J. Sistare, James L. Frankel",1991-12-12,1991-12-12,1994-10-11,1994-10-11,https://patents.google.com/patent/US5355494A/en,https://patentimages.storage.googleapis.com/pages/US5355494-1.png
US-5280547-A,Dense aggregative hierarhical techniques for data analysis ,Xerox Corporation,James V. Mahoney,1990-06-08,1990-06-08,1994-01-18,1994-01-18,https://patents.google.com/patent/US5280547A/en,https://patentimages.storage.googleapis.com/pages/US5280547-10.png
