title	author	genre	pages	language	country	publisher
Day of the Dogs	andrew cartmel	science fiction	256			black flame
Ali and Ramazan	perihan mağden	novel	196 pp (first edition, paperback)		turkey	amazoncrossing
Derech Mitzvosecha	"rabbi menachem mendel schneersohn ( "" tzemach tzedek "" ), the third rebbe of chabad"	non-fiction				
How to Kill a Dragon	calvert watkins	non-fiction	640 pages			
The Book of Night Women	marlon james	fiction	417 pages		jamaica, united states, united kingdom/australia	
La Sanfelice	alexandre dumas	historical novel				
Liliane (novel)	ntozake shange	novel	288 pages		united states	
The Astounding, the Amazing, and the Unknown	paul malmont	historical novel	418 pp		united states	simon  &  schuster
Sassafrass, Cypress  &  Indigo	ntozake shange	novel	224 pp (1982 hardcover)  207 pp (2010 paperback)		usa	
No Place to Hide (Greenwald book)	glenn greenwald	non-fiction	272 pages		united states	
Decolonising the Mind	ngũgĩ wa thiong'o	non-fiction	114			
The Crimson Campaign	brian mcclellan	fantasy	593pp		united states	orbit books
The Descent of Air India	jitender bhargava	non-fiction	290pp (kindle edition)		india	
Belle Prater's Boy	ruth white	children's novel	208		united states	fsg
Doesn't Anyone Blush Anymore?	rabbi manis friedman	non-fiction	113		united states	
The Floodgate	elaine cunningham	fantasy novel			united states	
The Wizardwar	elaine cunningham	fantasy novel			united states	
Horselords	david cook	fantasy novel			united states	
Dragonwall	troy denning	fantasy novel			united states	
Crusade (Forgotten Realms novel)	james lowder	fantasy novel			united states	
The Girl from Nongrim Hills	ankush saikia	fiction	240 pages		india	
God in Search of Man	abraham joshua heschel	non-fiction	437			
Crucial Conversations: Tools for Talking When Stakes Are High	kerry patterson  joseph grenny  ron mcmillan  al switzler	non-fiction	288 pp (hardback edition)		united states	mcgraw-hill
Smart Power	christian whiton	non-fiction	304		united states	
An Untamed State	roxane gay	fiction			united states	grove atlantic
Gas Wars	paranjoy guha thakurta, subir ghosh and jyotirmoy chaudhuri	non-fiction	588pp (hardback)		india	
China Dolls (novel)	lisa see	novel			united states	random house, inc.
That Night (novel)	alice mcdermott	fiction	192		united states	picador
Dragon's Bait	vivian vande velde	fantasy	208		united states	
How Markets Fail: The Logic of Economic Calamities	john cassidy	non-fiction	400 pp.		united states	fsg
Hot Head (novel)	simon ings	science fiction novel	300		united kingdom	grafton
Blood Red (novel)	mercedes lackey	fantasy novel	320		united states	daw books
Home from the Sea	mercedes lackey	fantasy	320		united states	daw books
Augustus (Massie novel)	allan massie	historical novel			united kingdom	bodley head
From Pieces to Weight	50 cent, kris ex	non-fiction	240		united states	
Dr. Dre: The Biography	ronin ro	non-fiction	308		united states	
W. E. B. Du Bois: Biography of a Race, 1868–1919	david levering lewis	non-fiction	752		united states	henry holt
W. E. B. Du Bois: The Fight for Equality and the American Century 1919–1963	david levering lewis	non-fiction	608		united states	henry holt
Blue Heaven (Box novel)	c.j. box	fiction	384		united states	minotaur
The Science of Star Wars (book)	jeanne cavelos	non-fiction	255 pp.		united states	st. martin's press
The Summer King (novel)	o. r. melling	fantasy			canada	
The Light-Bearer's Daughter	o. r. melling	fantasy			canada	penguin canada
Hannibal (Leckie novel)	ross leckie	historical novel	245		united kingdom	canongate
Mr. Nice (book)	howard marks	non-fiction	466 pp		united kingdom	secker  &  warburg
The Novel of the Future	anaïs nin	non-fiction	214			macmillan
The People of the Wind	poul anderson	science fiction	176		united states	new american library
Space Lords (short story collection)	cordwainer smith	science fiction	206		united states	pyramid books
The Year's Best Science Fiction: Fourth Annual Collection	edited by gardner dozois	science fiction			united states	st. martin's press
Vasanthathile Poomarangal	roopesh	novel	166		india	green books
The Only Journey of His Life	george vizyinos	novel				
The Mad Bomberg (novel)	josef winckler	historical novel				
Navigators of Dune		science fiction	448		united states	tor books
Hard Rain Falling	don carpenter	crime novel	336		united states	harcourt
The Circular Staircase	mary roberts rinehart	novel	362		united states	bobbs-merrill
Ma Gastronomie	fernand point	non-fiction	240		france	overlook/rookery (october 30, 2008)  xs books
Simian (graphic novel)	vikram balagopal	fiction	260		india	harpercollins
Your Fathers, Where Are They? And the Prophets, Do They Live Forever?	dave eggers	novel	212 pp (first edition, hardcover)		united states	alfred a. knopf, mcsweeney's
Quantum Devil Saga: Avatar Tuner, Vol. 1	yu godai	novel	254 (english 1st ed. hardcover 2014)		japan	
Detroit: An American Autopsy	charlie leduff	non-fiction				penguin books
The Camel Club (novel)	david baldacci	crime novel	816  pp (hardback)		united states	grand central publishing
Stone Cold (Baldacci novel)	david baldacci	crime novel	400  pp (hardback)		united states	grand central publishing
Divine Justice (novel)	david baldacci	crime novel	400 pp (hardback)		united states	grand central publishing
Hell's Corner	david baldacci	crime novel	720 pp (hardback)		united states	grand central publishing
The Snowden Files		non-fiction				vintage books
La Reine Margot (novel)	alexandre dumas   in collaboration with auguste maquet	historical novel			france	
The Anubis Tapestry	bruce zick	fantasy	152		united states	actionopolis
Tuva-Lisa	anders jacobsson and sören olsson	children's novel	106		sweden	kartonage
The Big Picture: Who Killed Hollywood? and Other Essays	william goldman	non-fiction			united states	applause books
The Long Mars	terry pratchett  &  stephen baxter	science fiction	357 pp (hardcover)		united kingdom	doubleday
Hálendið: Skáldsaga	steinar bragi	fiction	253 pp.		iceland	mál og menning
Tao: The Watercourse Way	alan watts, al chung-liang huang (collaborator)	non-fiction	134 pages		united states	
The Autumn Republic	brian mcclellan	fantasy			united states	orbit books
London: The Biography	peter ackroyd	non-fiction	822 pp.		united kingdom	chatto  &  windus
Deep Rivers	josé maría  arguedas	novel			peru	losada (buenos aires)
Quest for the Future	a. e. van vogt	science fiction	253		united states	ace books
Whiskey Tango Foxtrot (novel)	david shafer	fiction	425pp			mulholland books   little, brown and company
The Almost Nearly Perfect People	michael booth	non-fiction	416		united kingdom	jonathan cape
The Burning Room	michael connelly	crime novel	400 pp.		united states	little, brown and company
Julie (George novel)	jean craighead george	children's novel	226 pp		united states	harpercollins
The Causal Angel	hannu rajaniemi	science fiction novel	304		united kingdom	tor
Abraham Lincoln: The War Years	carl sandburg	non-fiction			united states	harcourt
The Favorite (novel)	valentin pikul	historical novel			soviet union	
Stella Bain	anita shreve	fiction	272 pp.		united states	little, brown and company/hachette book group
Networks and States	milton l. muller	non-fiction			united states	
Straight Life (book)	art pepper and laurie pepper	non-fiction	517		united states	schirmer books
Crown of Fire	ed greenwood	fantasy novel			united states	tsr
The Drunkard's Walk	leonard mlodinow	non-fiction	272 pp.		united states	
Ancillary Sword	ann leckie	science fiction			united states	orbit books
The Blood Crows	simon scarrow	historical novel	400		united kingdom	headline (uk)
Her Mother's Hope	francine rivers	novel	498		united states	
Innocence (Mendelsohn novel)	jane mendelsohn	fiction	208 pages		united states	
Mosaic (Star Trek)	jeri taylor	science fiction			united states	
Synthajoy	david g. compton	science fiction	180 pp (us)  190 pp (uk)		united states	hodder  &  stoughton (uk)  ace books (us)
The Mathematics of Life	ian stewart	non-fiction	368 pp.		united states	basic books
The Impressionist	hari kunzru	historical novel			united kingdom	
Peter (novel)	francis hopkinson smith	novel	482 pp  & pg=pa364#v=onepage & q & f=false catalogue of copyright entries, part 1, new series vol. 5 (july - dec 2008), p. 364 (2008)		united states	
The Demon Breed	james h. schmitz	science fiction novel	157 pp		united states	ace books
Old Mars	various	science fiction	512		united states	bantam books
Old Venus	various	science fiction	608		united states	bantam books
Exo (novel)	steven gould	science fiction novel	464 pp (hardcover)		united states	tor books
That Extraordinary Day	predrag vukadinović	novel	153		serbia	everest media, belgrade
This Changes Everything	naomi klein	non-fiction			united states	simon  &  schuster
The Pirates of Zan	murray leinster	science fiction novel	163 pp		united states	ace books
Kitne Pakistan	kamleshwar	historical novel	361 pages		india	
Desh Ka Bhavishya	yashpal	novel			india	lokbharti prakashan (rajkamal prakashan) (india)
Four from Planet 5	murray leinster	science fiction novel	160 pp		united states	fawcett publications
The Abyss Beyond Dreams	peter f. hamilton	science fiction novel	640		united kingdom	pan macmillan (uk)  del rey books (us)
The Fourth Treasure	todd shimoda	fiction	368 pages		united states	
Transformers: The Covenant of Primus	justina robson	fantasy novel	176		united states	47north
The Road from Home	david kherdian	non-fiction	242			
The Five Orders of Architecture	giacomo barozzi da vignola	non-fiction			italy	
How to Live Safely in a Science Fictional Universe	charles yu	novel	256		united states	pantheon
Our Nig	harriet e. wilson	novel	131 pages		united states	geo. c. rand  &  avery
A Place of Greater Safety	hilary mantel	historical novel			united kingdom	
Mistborn: The Alloy of Law	brandon sanderson	fantasy novel	336 pp		united states	tor books
Genocidal Organ	project itoh	science fiction	282 (hayakawa sf series/jcollection)  431 (paperback)		japan	hayakawa (japanese)  viz media (english)
The Gods Are Athirst	anatole france	historical novel			france	
An Englishwoman's Love-letters	laurence housman	novel	322		united kingdom	
The China Governess	margery allingham	crime novel			united kingdom	chatto  &  windus
Vortex (Wilson novel)	robert charles wilson	science fiction novel	331 (first edition, hardback)		united states	tor books
Empire of Silver (novel)	conn iggulden	historical novel	448 pp (first edition)		united kingdom	harpercollins
Deeper (Long novel)	jeff long	science fiction	480  (paperback)		united states	pocket books
The Bed of Procrustes	nassim nicholas taleb	non-fiction	157 pp (paperback)		united states	random house (u.s.)
Buddy Holly Is Alive and Well on Ganymede	bradley denton	science fiction	359pp (1st edition)		united states	william morrow  &  co
The Quantum Thief	hannu rajaniemi	science fiction	336		united kingdom	gollancz
The Bloke's Guide To Pregnancy	jon smith	non-fiction	256 pp		united kingdom, united states, australia	hay house
The Demon's Covenant	sarah rees brennan	novel	440		ireland	simon  &  schuster
Barrayar	lois mcmaster bujold	science fiction	386		united states	baen books
Arsène Lupin, Gentleman Burglar	maurice leblanc	crime novel			france	
Heliopolis (Scudamore novel)	james scudamore	novel	278 pp		england	harvill press
Exodus (Starfire)	steve white and shirley meier	science fiction	288		united states	baen books
Return to the Lost Planet	angus macvicar	science fiction			united kingdom	burke publishing co.
Everlost	neal shusterman	fantasy	377			simon  &  schuster
Daniel (Mankell novel)	henning mankell	fiction			sweden	harvill secker
Code Noir (novel)	marianne de pierres	science fiction novel	320			orbit books
Crash Deluxe	marianne de pierres	science fiction	320			orbit books
Orion in the Dying Time	ben bova	science fiction	368		united states	tor books
At Close Quarters	eugenio fuentes	crime novel	276		spain	arcadia books
The Best Science Fiction of the Year 13	edited by  terry carr	science fiction	384 pp.		united states	baen books
Terry Carr's Best Science Fiction of the Year 15	edited by  terry carr	science fiction	379 pp.		united states	tor books
Terry Carr's Best Science Fiction and Fantasy of the Year 16	edited by  terry carr	science fiction	402 pp.		united states	tor books
No Land! No House! No Vote! (book)	symphony way pavement dwellers	non-fiction	160  < !--		south africa	
Universe 1	edited by terry carr	science fiction	249 pp.		united states	ace books
Universe 2	edited by terry carr	science fiction	255 pp.		united states	ace books
The Empathic Civilization	jeremy rifkin	non-fiction	674			jeremy p. tarcher inc.
Beyond the Crash	gordon brown	non-fiction	315		united kingdom	simon  &  schuster
Griftopia	matt taibbi	non-fiction	252 pp.		united states	spiegel  &  grau
White Sister (novel)	stephen j. cannell	crime novel			united states	st. martin's press
The Man in the Moone	francis godwin	science fiction				
The Mind Readers	margery allingham	crime novel			united kingdom	chatto  &  windus
Hush (novel)	eishes chayil, a pseudonym	fiction	368		united states	walker books for young readers
Fire and Sword (novel)	simon scarrow	historical novel	657 pp		united kingdom	hodder headline
Winter of Fire (non-fiction)	richard oliver collin and gordon l. freeman	non-fiction			united states	dutton
Vengeance of Orion	ben bova	science fiction	352		united states	tor books
The Fields of Death	simon scarrow	historical novel			united kingdom	hodder headline
Decoding Reality	vlatko vedral	non-fiction	x, 256 pp.		united kingdom	oxford university press
The Dream of the Celt	mario vargas llosa	historical novel	464 pages		peru/spain	alfaguara (spanish)   faber and faber (uk) and farrar, straus and giroux (us)
Grass (novel)	sheri s. tepper	science fiction			united states	doubleday
The Apocalypse Troll	david weber	science fiction novel			united states	baen books
Player One	douglas coupland	fiction	246		canada	house of anansi press
The Year's Best Science Fiction: Eighth Annual Collection		science fiction	624 pp		united states	st. martin's press
